img_path,Foreign Object
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/03219.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/05105.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/00024.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/07428.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/06824.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/05370.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/05711.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/04234.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/03514.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/01494.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/05115.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/06526.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/03202.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/06110.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/02803.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/01148.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/03926.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/04200.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/03848.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/01970.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/07691.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/06153.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/03322.jpg,1
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/05830.jpg,0
/mnt/petrelfs/wuchaoyi/class-to-text/object-CXR/train/01892.jpg,1
